lemma	core_rank	frequency	pmw
物語	1702	3512	42.9776860
メンバー	1500	3511	42.9654486
外国	3202	3501	42.8430748
出来事	2061	3495	42.7696505
チーム	1128	3484	42.6350393
教師	1545	3473	42.5004281
委員	3202	3465	42.4025290
びっくりする	2061	3464	42.3902916
五日	1589	3458	42.3168673
勢い	2290	3446	42.1700187
モデル	1326	3426	41.9252711
便利	1500	3409	41.7172356
直る	2290	3397	41.5703870
利用	929	3395	41.5459123
小説	863	3394	41.5336749
終える	1760	3387	41.4480132
社長	863	3384	41.4113011
決定	1545	3383	41.3990637
職場	3552	3368	41.2155029
妹	3975	3364	41.1665534
星	2201	3362	41.1420786
残り	1500	3356	41.0686544
住所	2376	3351	41.0074674
切れる	2542	3350	40.9952301
喜び	1894	3341	40.8850936
中央	1845	3334	40.7994320
折角	2464	3330	40.7504824
未来	2290	3327	40.7137703
働き	2634	3325	40.6892955
中身	1894	3321	40.6403460
練習	1219	3320	40.6281086
囲む	2011	3315	40.5669217
じっと	3370	3315	40.5669217
ゲーム	1589	3295	40.3221740
主に	2376	3294	40.3099367
生命	2771	3287	40.2242750
少女	2634	3277	40.1019012
ニュース	1395	3266	39.9672900
まさか	3054	3265	39.9550526
先日	1845	3256	39.8449161
たっぷり	1952	3246	39.7225423
大臣	2771	3246	39.7225423
自転車	1952	3239	39.6368807
ふと	3202	3235	39.5879311
紙	2898	3216	39.3554209
現象	3054	3215	39.3431835
寄せる	1589	3203	39.1963349
高校	1361	3192	39.0617237
等	1128	3190	39.0372489
自動車	3054	3185	38.9760620
作成	911	3182	38.9393499
雲	3370	3180	38.9148751
一種	2771	3177	38.8781630
安全	1072	3172	38.8169760
植物	3202	3169	38.7802639
電車	3202	3161	38.6823648
任せる	1845	3160	38.6701275
単なる	2542	3159	38.6578901
ページ	2201	3158	38.6456527
止む	1465	3142	38.4498546
熱	2201	3140	38.4253798
男の子	3975	3129	38.2907686
トイレ	2011	3124	38.2295817
毎年	2201	3108	38.0337836
使用	1845	3107	38.0215462
複数	1301	3096	37.8869350
とく	2634	3089	37.8012733
おい	2061	3079	37.6788995
地位	3202	3076	37.6421874
西	2061	3075	37.6299500
検査	2898	3070	37.5687631
鳥	1659	3065	37.5075762
皮	3552	3062	37.4708640
招く	2061	3058	37.4219145
カメラ	1199	3048	37.2995407
チャンス	1804	3034	37.1282173
八日	1088	3032	37.1037426
財産	3370	3031	37.0915052
予算	2290	3026	37.0303183
東	3370	3025	37.0180809
線	5205	3023	36.9936061
